# ID    ra_sdss       dec_sdss      
  156   238.1173      18.253406     
  157   155.58359     1.2064495     
  158   354.03982     6.1302678     
  159   257.82513     25.711976     
  160   57.529961     -1.247338     
  161   324.91114     7.8547838     
  162   227.89336     -1.8204647    
  163   125.63199     47.593653     
  164   121.29519     37.651651     
  165   258.72846     33.741379     
  166   183.63393     25.733141     
  167   174.39056     13.809941     
  168   2.1514639     10.776181     
  169   174.04444     15.702912     
  170   129.58142     11.278709     
  171   122.65555     23.092641     
  172   23.383335     2.9911299     
  173   158.78845     -1.8734354    
  174   338.49083     2.5171077     
  175   196.66568     7.7154471     
  176   185.83469     21.216172     
  177   152.71542     9.6940701     
  178   113.43772     47.305359     
  179   119.66866     8.8262846     
  180   317.94567     0.98193537    
  181   139.73852     66.096368     
  182   116.2172      46.819921     
  183   150.06185     -2.8702829    
  184   217.99899     -2.4187201    
  185   239.43557     45.341236     
  186   166.94494     -1.8903559    
  187   194.16401     16.079668     
  188   344.79366     2.9659543     
  189   11.651203     -0.98513366   
  190   213.61112     35.987375     
  191   33.969369     5.6206832     
  192   56.295902     -1.2017075    
  193   198.55269     11.299318     
  194   203.91598     34.287706     
  195   114.72516     46.475493     
  196   149.51544     -0.94544182   
  197   15.8524       12.153669     
  198   334.08501     -0.82703049   
  199   137.54549     -0.12391207   
  200   129.69447     11.979688     
  201   318.39951     8.2640419     
  202   187.29701     34.38282      
  203   127.59951     32.998363     
  204   321.43652     8.1171197     
  205   236.75836     21.776697     
  206   145.07138     1.4620963     
  207   116.48553     33.250514     
  208   30.518159     11.4679       
  209   224.10715     32.417552     
  210   169.58101     13.087611     
  211   14.253204     7.0346568     
  212   231.69344     -0.94719143   
  213   335.14956     2.3168216     
  214   329.87041     9.3224018     
  215   164.01561     0.34608853    
  216   214.55109     6.4339479     
  217   318.62822     0.66618874    
  218   355.06168     3.8114136     
  219   45.041599     -0.5794       
  220   174.95444     0.71404448    
  221   243.49444     23.117733     
  222   254.08967     17.909435     
  223   238.70384     3.6197628     
  224   227.29946     29.400813     
  225   333.60037     3.2023259     
  226   37.62767      -0.75003976   
  227   241.22314     39.90668      
  228   322.90343     10.218516     
  229   2.284341799   -0.24500363   
  230   125.62364     21.059525     
  231   317.6649      -2.3195064    
  232   230.07129     45.328877     
  233   221.16556     -0.2071014    
  234   34.80896      4.2818467     
  235   330.81861     0.59283052    
  236   224.69626     13.946898     
  237   3.647384199   0.12879112    
  238   240.15137     17.079481     
  239   197.77289     8.1829419     
  240   156.21949     2.6974893     
  241   23.254854     6.1513438     
  242   4.7104694     7.8176491     
  243   176.44279     -3.5890148    
  244   121.13705     53.025261     
  245   146.95587     1.9521568     
  246   125.13682     36.146929     
  247   353.39234     -2.4847421    
  248   170.52629     1.9407386     
  249   116.63716     44.658867     
  250   127.45632     39.952298     
  251   15.855636     20.049149     
  252   131.5217      9.8639492     
  253   213.33761     24.51082      
  254   27.55747      4.9176913     
  255   148.63721     16.674519     
  256   235.15546     29.125618     
  257   224.89369     -2.1339745    
  258   121.6044      42.506233     
  259   25.636255     13.777992     
  260   332.34827     5.9149952     
  261   172.79564     39.644659     
  262   171.47319     -1.9311039    
  263   212.74023     26.105297     
  264   129.84812     50.349445     
  265   234.68817     44.550447     
  266   30.051194     11.920141     
  267   3.1002187     7.7833701     
  268   133.64827     11.225092     
  269   326.31018     5.4906202     
  270   209.98938     -3.1743404    
  271   27.777852     20.619732     
  272   328.99182     12.77095      
  273   126.19039     13.506955     
  274   237.5609      23.784738     
  275   252.2909      44.244849     
